mmsi,vessel_name,imo,vessel_type,best_time,latitude,longitude,sog,cog,distance_km,time_diff_min,score,closest_distance_km,closest_time
367330830,ODYSSEA DARWIN,IMO9343120,90.0,2018-09-26 14:23:17+00:00,28.78157,-89.04051,0.5,153.7,13.787428385230616,0.7166666666666667,1.4026317274119504,12.507155812003461,2018-09-26 11:28:27+00:00
366989120,MARY GRACE,IMO9320350,60.0,2018-09-26 14:02:17+00:00,28.95129,-89.07599,19.0,259.3,7.219575359316299,21.716666666666665,1.4458464248205187,5.958370568828349,2018-09-26 13:55:12+00:00
367375990,SANTA MARIA IV,IMO8940189,30.0,2018-09-26 14:23:26+00:00,28.88642,-89.17739,3.4,235.8,15.045041308360606,0.5666666666666667,1.5233930197249494,12.631099484594358,2018-09-26 20:41:55+00:00
372123000,MSC LEIGH,IMO9320439,70.0,2018-09-26 14:23:49+00:00,28.99905,-88.90564,6.8,235.2,15.59461901896918,0.18333333333333332,1.5655730130080292,2.4696025080211226,2018-09-26 15:37:37+00:00
367393940,MISS MY PHUNG,IMO8958538,30.0,2018-09-26 14:22:59+00:00,28.88728,-89.18595,3.2,283.5,15.85903382340509,1.0166666666666666,1.619792271229398,15.094293961865846,2018-09-26 14:14:31+00:00
367680870,LUCKY STAR,IMO9242883,30.0,2018-09-26 14:24:33+00:00,28.88738,-89.20845,3.2,265.8,18.033737683708967,0.55,1.8217071017042301,11.154338415715873,2018-09-26 17:50:04+00:00
366983730,MR LLOYD,IMO8988480,60.0,2018-09-26 14:54:01+00:00,28.95669,-89.09911,21.5,72.8,9.295656473039807,30.016666666666666,1.930121202859536,8.986540597513073,2018-09-26 14:55:13+00:00
367579840,FMS EAGLE,IMO8203074,90.0,2018-09-26 14:23:39+00:00,28.78377,-89.24278,0.1,327.4,25.17745903886744,0.35,2.5294125705534105,24.815924751092485,2018-09-26 09:44:59+00:00
367318350,MISS LORAINE,IMO8941054,30.0,2018-09-26 14:24:09+00:00,28.87348,-89.29035,3.0,240.9,26.137073750097567,0.15,2.6187073750097567,15.967523876837953,2018-09-26 02:29:48+00:00
367704020,MISS ALLY,IMO8940658,30.0,2018-09-26 14:23:52+00:00,28.85003,-89.31624,3.0,248.0,29.072357458157988,0.13333333333333333,2.911680190260243,15.050457974668314,2018-09-26 00:00:42+00:00
237928000,ERIKOUSSA,IMO9254850,80.0,2018-09-26 14:24:02+00:00,28.90195,-89.33102,0.0,273.0,29.861887208500935,0.03333333333333333,2.987299831961205,29.475606315070983,2018-09-26 22:39:02+00:00
229616000,POLA LADOGA,IMO9659799,70.0,2018-09-26 14:25:30+00:00,28.88416,-89.32786,0.1,78.6,29.643695492964056,1.5,3.0143695492964055,29.52375993695629,2018-09-26 18:43:34+00:00
538007911,CAPE TAURA,IMO9407251,89.0,2018-09-26 14:22:41+00:00,28.88643,-89.35131,0.1,196.7,31.902825175984493,1.3166666666666667,3.2341714064873384,31.536574746994944,2018-09-26 22:34:42+00:00
367481310,OSG COURAGEOUS,IMO9395707,31.0,2018-09-26 14:24:56+00:00,28.91617,-89.36129,0.1,221.7,32.829216072694905,0.9333333333333333,3.3140327183806018,32.34214877871588,2018-09-26 23:10:01+00:00
538003693,AMANDA C,IMO9482782,70.0,2018-09-26 14:23:28+00:00,28.88675,-89.36682,0.0,71.3,33.40760136597541,0.5333333333333333,3.3585379143753187,32.897416643697674,2018-09-26 22:26:27+00:00
538006166,TRF BERGEN,IMO9692246,80.0,2018-09-26 14:23:53+00:00,28.86432,-89.36751,4.8,188.8,33.71935739028949,0.11666666666666667,3.375824627917838,33.2527346424763,2018-09-26 07:05:05+00:00
368028770,AB 8,,90.0,2018-09-26 14:24:18+00:00,28.96881,-89.36863,0.0,336.7,34.259393488751364,0.3,3.435939348875136,33.99195801570079,2018-09-26 16:27:18+00:00
366804450,CROSBY RAMBLER,,31.0,2018-09-26 14:23:55+00:00,28.98615,-89.36705,2.0,186.9,34.560484803417026,0.08333333333333333,3.45882625811948,33.47976183059531,2018-09-26 11:50:04+00:00
367095460,MISS DOROTHY,,31.0,2018-09-26 14:23:15+00:00,28.98896,-89.36722,2.3,240.7,34.65912434696615,0.75,3.490912434696615,33.700191636010736,2018-09-26 13:42:33+00:00
366968740,NOLA,,60.0,2018-09-26 14:23:57+00:00,28.94748,-89.39788,23.2,34.5,36.66990625883778,0.05,3.6686572925504444,33.498447920256226,2018-09-26 14:07:29+00:00
367743640,MASTER PAUL,IMO8990639,30.0,2018-09-26 15:28:55+00:00,29.00821,-88.92334,6.6,239.8,15.12586359978073,64.91666666666667,3.6764752488669625,6.421296832163296,2018-09-26 16:40:24+00:00
256317000,LIGARI,IMO9279513,70.0,2018-09-26 14:14:26+00:00,29.0076,-89.35012,10.9,33.3,33.703244901841174,9.566666666666666,3.6892133790730064,33.703244901841174,2018-09-26 14:14:26+00:00
366991260,CAPT JOHN E GRAHAM,IMO8988428,90.0,2018-09-26 14:23:50+00:00,28.84404,-89.39705,0.4,152.1,36.920301249127554,0.16666666666666666,3.697585680468311,35.44423871884496,2018-09-26 04:11:31+00:00
271045704,,,,2018-09-26 14:24:58+00:00,28.93852,-89.40548,9.8,30.6,37.29155975807386,0.9666666666666667,3.7613781980296084,33.671051978770144,2018-09-26 14:55:39+00:00
367192710,BAR PILOT,,60.0,2018-09-26 14:24:39+00:00,28.93232,-89.40749,0.1,219.2,37.42452542626249,0.65,3.7641192092929154,33.26338472861617,2018-09-26 19:20:57+00:00
366957490,WILLIAM H JOHNSON,,60.0,2018-09-26 14:21:32+00:00,28.93248,-89.4078,9.6,282.4,37.4560282525075,2.466666666666667,3.8278250474729725,37.30738948497945,2018-09-26 05:50:45+00:00
367772750,LAUREN A,IMO8024741,30.0,2018-09-26 14:24:26+00:00,28.95946,-89.41375,0.0,25.7,38.38821644539975,0.43333333333333335,3.8532660889844195,38.3841985457552,2018-09-26 14:26:06+00:00
367166240,,,,2018-09-26 14:23:34+00:00,28.95411,-89.41571,1.4,322.9,38.48819266026592,0.43333333333333335,3.863263710471037,38.216913219356684,2018-09-26 14:38:54+00:00
367611820,GIS-SEA HORSE,IMO8964496,90.0,2018-09-26 14:45:59+00:00,29.00778,-89.35085,12.0,213.4,33.77682174298454,21.983333333333334,4.110459952076232,33.77682174298454,2018-09-26 14:45:59+00:00
367435750,FREEDOM,IMO9584176,31.0,2018-09-26 14:51:44+00:00,29.008,-89.3509,11.6,215.6,33.78967077041209,27.733333333333334,4.303411521485653,1.520628622026865,2018-09-26 17:38:34+00:00
367599830,FEDERAL PILOT II,,90.0,2018-09-26 13:47:14+00:00,29.00531,-89.34947,18.3,34.1,33.55838553481681,36.766666666666666,4.5813941090372365,33.55838553481681,2018-09-26 13:47:14+00:00
368042990,,,,2018-09-26 13:45:13+00:00,29.00824,-89.34742,22.7,34.0,33.480559648240614,38.78333333333333,4.640833742601839,33.12792554676519,2018-09-26 18:34:37+00:00
477476200,OSLO VENTURE,IMO9693185,70.0,2018-09-26 15:02:23+00:00,28.91916,-89.41943,10.1,35.1,38.4966456799409,38.38333333333333,5.129109012438534,33.61712109714163,2018-09-26 15:40:22+00:00
210998000,SEABOARD VALPARAISO,IMO9393539,70.0,2018-09-26 15:21:16+00:00,28.77113,-89.39509,12.2,326.4,39.05610336495973,57.266666666666666,5.814499225384862,33.83358608600723,2018-09-26 16:45:26+00:00
367582010,MS NORMA LEE,IMO9089396,90.0,2018-09-26 15:43:16+00:00,29.00452,-89.35368,11.6,212.5,33.916142676127514,79.26666666666667,6.0338364898349734,7.9001723813626645,2018-09-26 02:49:56+00:00
367659220,LADY JENNIE,IMO8961274,30.0,2018-09-26 16:53:32+00:00,29.00887,-89.0446,8.0,230.6,11.745951726554933,149.53333333333333,6.159039617099938,9.98289496554824,2018-09-26 17:17:04+00:00
367669990,CAPT ANDRE,IMO7733187,30.0,2018-09-26 17:03:41+00:00,29.00975,-89.06365,7.0,217.2,12.288617311874628,159.68333333333334,6.55163950896524,10.197583119829204,2018-09-26 17:31:41+00:00
538002355,OSPREY I,IMO9241504,70.0,2018-09-26 13:02:13+00:00,28.88754,-89.41997,8.4,183.0,38.569164074998056,81.78333333333333,6.583027518610916,33.718230489908855,2018-09-26 12:16:32+00:00
247302400,PANNONIA G,IMO9567946,70.0,2018-09-26 16:16:15+00:00,29.009,-89.34933,13.9,214.0,33.6840107163605,112.25,7.110067738302716,33.6840107163605,2018-09-26 16:16:15+00:00
563016600,,,,2018-09-26 16:27:09+00:00,29.00595,-89.35144,10.9,213.7,33.76272416863659,123.15,7.481272416863659,33.76272416863659,2018-09-26 16:27:09+00:00
366872570,DAY ANGEL,IMO8980036,30.0,2018-09-26 17:41:07+00:00,29.00787,-89.03433,8.3,221.0,11.50871374568182,197.11666666666667,7.721426930123738,9.409512970493077,2018-09-26 18:03:10+00:00
367653160,FAST LEOPARD,IMO9718260,60.0,2018-09-26 12:17:39+00:00,28.7706,-89.35852,18.0,108.8,35.81204371130297,126.35,7.792871037796964,35.81204371130297,2018-09-26 12:17:39+00:00
319602000,STOLT FOCUS,IMO9214305,80.0,2018-09-26 12:05:52+00:00,29.00835,-89.34947,12.3,34.0,33.67209659978204,138.13333333333333,7.971654104422647,33.67209659978204,2018-09-26 12:05:52+00:00
367109110,STONE EXPLORER,,31.0,2018-09-26 11:43:44+00:00,29.00784,-89.34878,6.0,33.4,33.58969972279426,160.26666666666668,8.701192194501647,33.58969972279426,2018-09-26 11:43:44+00:00
367495070,MISSISSIPPI IV,,30.0,2018-09-26 17:13:36+00:00,28.87674,-89.41912,8.1,73.4,38.56686075637284,169.6,9.510019408970617,10.788910113510424,2018-09-26 19:14:35+00:00
