mmsi,base_date_time,longitude,latitude,sog,cog,vessel_name,imo,call_sign,vessel_type,length,width,distance_km
372123000,2018-09-26 15:37:37+00:00,-89.03939,28.92258,6.9,234.6,MSC LEIGH,IMO9320439,3EGN4,70.0,274.0,32.0,2.465348512396342
366989120,2018-09-26 13:55:12+00:00,-89.03427,28.95761,19.0,258.8,MARY GRACE,IMO9320350,WDH7968,60.0,54.0,9.0,5.947965899926178
366983730,2018-09-26 14:55:13+00:00,-89.09184,28.95983,21.0,56.6,MR LLOYD,IMO8988480,WDH6207,60.0,50.0,9.0,8.972063276754318
367743640,2018-09-26 15:57:54+00:00,-88.97704,28.98579,6.4,245.3,MASTER PAUL,IMO8990639,WDI8935,30.0,26.0,7.0,10.09909765081641
367330830,2018-09-26 13:00:07+00:00,-89.04473,28.78998,0.4,138.1,ODYSSEA DARWIN,IMO9343120,WDE2876,90.0,49.0,13.0,12.89308109399108
367375990,2018-09-26 14:03:25+00:00,-89.15821,28.8933,4.4,342.4,SANTA MARIA IV,IMO8940189,WDE6116,30.0,25.0,7.0,13.077067279446362
367393940,2018-09-26 14:14:31+00:00,-89.17839,28.88988,3.9,181.4,MISS MY PHUNG,IMO8958538,WDE7494,30.0,25.0,7.0,15.066768477840732
367680870,2018-09-26 14:12:06+00:00,-89.1972,28.89059,3.5,187.2,LUCKY STAR,IMO9242883,WDI2705,30.0,25.0,7.0,16.87725036071291
367318350,2018-09-26 13:00:08+00:00,-89.23888,28.90279,3.1,260.1,MISS LORAINE,IMO8941054,WDD9941,30.0,24.0,7.0,20.855221172416634
367704020,2018-09-26 13:01:21+00:00,-89.24441,28.8807,2.5,280.6,MISS ALLY,IMO8940658,WDI4986,30.0,24.0,7.0,21.557310447601754
367579840,2018-09-26 14:42:40+00:00,-89.24277,28.78386,0.2,332.7,FMS EAGLE,IMO8203074,WDG8660,90.0,52.0,12.0,25.11672055748472
229616000,2018-09-26 15:58:27+00:00,-89.32737,28.884,0.1,222.1,POLA LADOGA,IMO9659799,9HA3452,70.0,180.0,30.0,29.542728209977522
237928000,2018-09-26 15:57:02+00:00,-89.33073,28.90205,0.1,208.0,ERIKOUSSA,IMO9254850,SVGV,80.0,228.0,32.0,29.780853843901255
538007911,2018-09-26 15:10:41+00:00,-89.35043,28.88642,0.0,196.7,CAPE TAURA,IMO9407251,V7MT6,89.0,229.0,32.0,31.758845541092008
367435750,2018-09-26 15:59:04+00:00,-89.35354,28.89342,10.3,93.8,FREEDOM,IMO9584176,WDF3092,31.0,35.0,11.0,32.02053110426736
367481310,2018-09-26 13:13:02+00:00,-89.36119,28.91643,0.1,14.1,OSG COURAGEOUS,IMO9395707,WDF7122,31.0,42.0,11.0,32.7648985568753
538006166,2018-09-26 13:23:05+00:00,-89.36439,28.87444,0.0,177.4,TRF BERGEN,IMO9692246,V7KH7,80.0,183.0,32.0,33.220907124295245
538003693,2018-09-26 15:23:24+00:00,-89.36676,28.88678,0.1,71.3,AMANDA C,IMO9482782,V7SO4,70.0,180.0,30.0,33.340149432771064
368042990,2018-09-26 13:45:13+00:00,-89.34742,29.00824,22.7,34.0,,,,,,,33.436601749148366
366968740,2018-09-26 14:07:29+00:00,-89.34803,29.00724,28.1,214.6,NOLA,,WDB9045,60.0,15.0,5.0,33.45436360890033
