mmsi,base_date_time,longitude,latitude,sog,cog,vessel_name,imo,call_sign,vessel_type,length,width,distance_km
367375990,2018-09-26 13:59:55+00:00,-89.15981,28.88985,3.7,69.2,SANTA MARIA IV,IMO8940189,WDE6116,30.0,25.0,7.0,0.024863441960004614
367393940,2018-09-26 14:14:31+00:00,-89.17839,28.88988,3.9,181.4,MISS MY PHUNG,IMO8958538,WDE7494,30.0,25.0,7.0,1.7872987721534774
367680870,2018-09-26 14:12:06+00:00,-89.1972,28.89059,3.5,187.2,LUCKY STAR,IMO9242883,WDI2705,30.0,25.0,7.0,3.6159094762666633
366983730,2018-09-26 14:42:19+00:00,-89.17389,28.93376,21.4,72.4,MR LLOYD,IMO8988480,WDH6207,60.0,50.0,9.0,5.0414491839725235
366989120,2018-09-26 14:17:53+00:00,-89.16745,28.93671,18.8,258.5,MARY GRACE,IMO9320350,WDH7968,60.0,54.0,9.0,5.235120018497321
367318350,2018-09-26 13:00:08+00:00,-89.23888,28.90279,3.1,260.1,MISS LORAINE,IMO8941054,WDD9941,30.0,24.0,7.0,7.796375386286308
372123000,2018-09-26 15:59:18+00:00,-89.07886,28.89922,7.1,237.2,MSC LEIGH,IMO9320439,3EGN4,70.0,274.0,32.0,7.951799444524482
367704020,2018-09-26 13:01:21+00:00,-89.24441,28.8807,2.5,280.6,MISS ALLY,IMO8940658,WDI4986,30.0,24.0,7.0,8.268159526614975
367579840,2018-09-26 14:42:40+00:00,-89.24277,28.78386,0.2,332.7,FMS EAGLE,IMO8203074,WDG8660,90.0,52.0,12.0,14.26575936373883
367330830,2018-09-26 15:41:36+00:00,-89.05776,28.78972,0.8,231.2,ODYSSEA DARWIN,IMO9343120,WDE2876,90.0,49.0,13.0,14.92081693150014
229616000,2018-09-26 15:58:27+00:00,-89.32737,28.884,0.1,222.1,POLA LADOGA,IMO9659799,9HA3452,70.0,180.0,30.0,16.279636789178824
237928000,2018-09-26 15:21:02+00:00,-89.33073,28.902,0.0,177.0,ERIKOUSSA,IMO9254850,SVGV,80.0,228.0,32.0,16.645931364494388
538007911,2018-09-26 15:10:41+00:00,-89.35043,28.88642,0.0,196.7,CAPE TAURA,IMO9407251,V7MT6,89.0,229.0,32.0,18.511381182960438
367435750,2018-09-26 15:59:04+00:00,-89.35354,28.89342,10.3,93.8,FREEDOM,IMO9584176,WDF3092,31.0,35.0,11.0,18.813194127484085
367481310,2018-09-26 14:48:55+00:00,-89.3612,28.91626,0.1,187.9,OSG COURAGEOUS,IMO9395707,WDF7122,31.0,42.0,11.0,19.76987127829798
538006166,2018-09-26 13:23:05+00:00,-89.36439,28.87444,0.0,177.4,TRF BERGEN,IMO9692246,V7KH7,80.0,183.0,32.0,19.938777837454374
538003693,2018-09-26 15:23:24+00:00,-89.36676,28.88678,0.1,71.3,AMANDA C,IMO9482782,V7SO4,70.0,180.0,30.0,20.09734009776804
367743640,2018-09-26 15:57:54+00:00,-88.97704,28.98579,6.4,245.3,MASTER PAUL,IMO8990639,WDI8935,30.0,26.0,7.0,20.71769571085478
366804450,2018-09-26 15:43:44+00:00,-89.36706,28.96826,0.6,9.9,CROSBY RAMBLER,,WDA3981,31.0,18.0,7.0,21.918244420142635
368028770,2018-09-26 15:45:18+00:00,-89.36735,28.96825,0.0,246.9,AB 8,,WDI9723,90.0,2.0,2.0,21.94368376197241
