mmsi,vessel_name,imo,vessel_type,closest_time,distance_km,time_difference_min,ais_course,ais_slick_difference_deg,wind_slick_difference_deg,ais_direction_score,wind_score,directional_score,proximity_score,temporal_score,final_attribution_score
372123000,MSC LEIGH,IMO9320439,70.0,2018-09-26 15:37:37+00:00,2.4696025080211226,73.61666666666666,234.6,0.9000000000000057,4.5789104925043205,99.0,94.9123216749952,96.9561608374976,90.12158996791551,59.10185185185186,84.86094720137845
366989120,MARY GRACE,IMO9320350,60.0,2018-09-26 13:55:12+00:00,5.958370568828349,28.8,258.8,25.100000000000023,4.5789104925043205,72.11111111111109,94.9123216749952,83.51171639305315,76.1665177246866,84.0,80.12567756334614
366983730,MR LLOYD,IMO8988480,60.0,2018-09-26 14:55:13+00:00,8.986540597513073,31.216666666666665,56.6,2.9000000000000057,4.5789104925043205,96.77777777777777,94.9123216749952,95.84504972638649,64.0538376099477,82.65740740740742,79.87829070263578
367743640,MASTER PAUL,IMO8990639,30.0,2018-09-26 16:40:24+00:00,6.421296832163296,136.4,246.8,13.100000000000023,4.5789104925043205,85.44444444444443,94.9123216749952,90.1783830597198,74.31481267134681,24.22222222222222,67.10721776423246
367435750,FREEDOM,IMO9584176,31.0,2018-09-26 17:38:34+00:00,1.520628622026865,194.56666666666666,91.5,37.80000000000001,4.5789104925043205,57.999999999999986,94.9123216749952,76.45616083749759,93.91748551189254,0.0,63.403842456006295
367529040,K-MARINE VIII,IMO8977144,60.0,2018-09-26 22:42:38+00:00,6.318450954752866,498.6333333333333,240.7,7.0,4.5789104925043205,92.22222222222223,94.9123216749952,93.56727194860872,74.72619618098854,0.0,62.571771168089136
367393940,MISS MY PHUNG,IMO8958538,30.0,2018-09-26 14:14:31+00:00,15.094293961865846,9.483333333333333,181.4,52.29999999999998,4.5789104925043205,41.88888888888891,94.9123216749952,68.40060528194205,39.622824152536616,94.73148148148148,62.146626060412075
367642980,CAPT ELLIOTT MCCALL,IMO9744453,90.0,2018-09-26 07:35:17+00:00,4.016866896017324,408.71666666666664,81.2,27.5,4.5789104925043205,69.44444444444444,94.9123216749952,82.17838305971982,83.93253241593071,0.0,61.69875010651045
366803040,LITTLE ANDREW,,30.0,2018-09-26 06:00:00+00:00,7.125830664706612,504.0,47.3,6.399999999999977,4.5789104925043205,92.88888888888891,94.9123216749952,93.90060528194206,71.49667734117355,0.0,61.41329696549648
367302430,THE SHOOTIST,IMO8036574,30.0,2018-09-26 00:15:16+00:00,7.412344061985868,848.7333333333333,45.8,7.899999999999977,4.5789104925043205,91.22222222222224,94.9123216749952,93.06727194860872,70.35062375205653,0.0,60.621542196516344
367594140,NGUYEN T J,IMO8958291,30.0,2018-09-26 20:50:37+00:00,8.780835984877287,386.6166666666667,58.2,4.5,4.5789104925043205,95.0,94.9123216749952,94.9561608374976,64.87665606049084,0.0,59.187510675445616
366872570,DAY ANGEL,IMO8980036,30.0,2018-09-26 18:03:10+00:00,9.409512970493077,219.16666666666666,234.1,0.4000000000000057,4.5789104925043205,99.55555555555556,94.9123216749952,97.23393861527538,62.36194811802769,0.0,59.09273860957146
